21:48:47.118 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:48:49.773 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:49.774 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:48:50.397 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:50.397 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:48:50.499 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:50.500 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:48:50.721 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:50.723 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:48:50.769 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:50.770 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:50.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:50.913 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:50.942 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:48:50.942 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:48:51.443 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:51.443 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:48:52.037 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:52.037 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
