21:48:28.054 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:48:29.044 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:29.044 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:48:29.383 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:29.385 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:48:29.433 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:29.434 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:29.664 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:29.664 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:29.736 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:48:29.736 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:48:30.183 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:30.183 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:48:30.193 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:30.193 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
