21:49:05.532 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:49:08.093 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:08.094 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:49:08.278 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:08.278 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:49:08.309 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:08.310 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:49:08.389 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:08.392 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:49:08.454 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:08.455 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:49:08.499 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:08.500 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:49:08.515 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:08.515 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:49:08.577 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:08.577 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:49:08.590 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:08.590 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:49:08.630 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:08.630 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
21:49:08.655 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:08.655 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
21:49:08.680 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:08.680 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
21:49:08.704 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:08.705 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
21:49:08.731 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:08.732 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
21:49:08.758 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:49:08.759 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
21:49:08.783 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:49:08.783 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
21:49:08.804 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
21:49:08.804 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
21:49:08.832 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
21:49:08.832 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:49:08.852 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:49:08.852 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:49:08.881 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:49:08.882 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
