21:48:27.502 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:48:30.459 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:30.459 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:48:31.128 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:31.128 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:48:31.226 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:31.226 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:31.412 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:31.412 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:31.455 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:48:31.455 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:48:31.714 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:31.715 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:48:31.779 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:31.782 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
