21:48:24.223 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:48:25.344 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:25.345 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:48:25.832 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:25.833 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:48:25.891 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:25.891 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:26.039 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:26.039 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:26.083 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:48:26.084 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:48:27.032 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:27.033 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:48:27.095 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:27.096 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
