21:49:02.912 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
21:49:05.303 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:49:05.303 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:49:05.568 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:49:05.568 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:49:05.680 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:49:05.681 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:49:05.715 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:49:05.715 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:49:05.790 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:49:05.790 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:49:05.882 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:49:05.882 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:49:06.023 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:49:06.023 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:49:06.072 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:49:06.073 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:49:06.149 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:49:06.149 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:49:06.172 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:49:06.173 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:49:06.199 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:49:06.201 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:49:06.226 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:49:06.227 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:49:06.255 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:49:06.255 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:49:06.294 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:49:06.294 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:49:06.329 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:49:06.329 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:49:06.361 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:49:06.361 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:49:06.396 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:49:06.397 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:49:06.437 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:49:06.437 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:49:06.475 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:49:06.475 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:49:06.509 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
21:49:06.509 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:49:06.544 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:49:06.544 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:49:06.583 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:49:06.584 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
21:49:06.633 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:49:06.633 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:49:06.654 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:49:06.655 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
