21:48:50.017 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:48:51.232 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:51.232 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:48:51.686 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:51.687 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:48:51.701 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:51.701 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:48:51.745 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:51.745 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:48:51.752 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:51.752 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:51.781 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:51.782 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:51.789 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:48:51.789 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:48:51.935 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:48:52.770 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:48:54.242 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:48:54.242 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:48:54.740 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:48:54.740 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:48:54.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:48:54.800 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:48:54.835 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
