21:48:54.165 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:48:55.738 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:55.739 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:48:56.369 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:56.369 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:48:56.394 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:56.395 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:48:56.443 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:56.443 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:48:56.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:56.453 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:56.497 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:56.498 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:56.504 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:48:56.504 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:48:56.656 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:49:03.030 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:49:05.497 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:05.497 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:49:05.938 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:05.939 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:49:06.084 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:06.084 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:49:06.169 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:06.169 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:49:06.219 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:49:06.219 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
