21:49:09.696 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:49:10.906 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:10.907 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:49:11.512 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:11.512 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:49:11.540 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:11.540 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:49:11.596 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:11.596 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:49:11.621 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:11.621 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:49:11.654 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:11.654 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:49:11.677 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:11.678 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:49:11.702 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:11.702 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:49:11.722 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:11.722 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:49:11.740 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:11.740 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
21:49:11.752 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:11.752 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
21:49:11.772 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:11.773 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
21:49:11.797 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:11.797 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
21:49:11.828 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:11.829 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
