21:49:01.287 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:49:02.873 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:02.873 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:49:03.358 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:03.358 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:49:03.423 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:03.423 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:49:03.444 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:03.444 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:49:03.474 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:03.475 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
21:49:03.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:03.660 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
21:49:03.682 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:03.683 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
21:49:03.855 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:03.855 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
21:49:03.874 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:03.874 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
21:49:04.051 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:04.051 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
21:49:04.089 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:04.089 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:49:04.215 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:04.216 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:49:04.247 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:04.247 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
21:49:04.387 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:04.387 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
21:49:04.426 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:49:04.426 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:49:04.561 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:49:04.561 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:49:04.598 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:49:04.598 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:49:04.631 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:04.631 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
21:49:04.771 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
21:49:04.771 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
21:49:04.844 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
21:49:04.844 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:49:04.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
21:49:04.864 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
21:49:04.880 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
21:49:04.881 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
21:49:04.909 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
21:49:04.909 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
21:49:04.933 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
21:49:04.933 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
21:49:04.971 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
21:49:04.972 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
21:49:05.000 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
21:49:05.001 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
21:49:05.038 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
