21:49:10.177 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:49:11.643 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:11.645 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:49:12.388 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:12.388 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:49:12.405 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:12.405 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:49:12.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:12.418 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:49:12.439 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:12.439 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
21:49:12.559 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:12.559 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
21:49:12.580 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:12.580 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
21:49:12.768 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:12.768 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
21:49:12.787 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:12.788 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
21:49:12.901 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:12.901 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
21:49:12.919 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:12.919 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:49:13.000 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:13.000 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:49:13.013 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:13.013 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
21:49:13.151 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:49:13.153 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
21:49:13.178 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:49:13.180 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:49:13.507 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:49:13.507 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:49:13.562 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:49:13.562 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:49:13.605 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:13.605 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
21:49:14.254 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
21:49:14.254 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
21:49:14.392 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
21:49:14.392 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:49:14.417 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
21:49:14.417 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
21:49:14.432 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
21:49:14.432 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
21:49:14.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
21:49:14.452 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
21:49:14.469 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
21:49:14.469 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
21:49:14.482 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
21:49:14.483 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
21:49:14.495 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
21:49:14.495 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
21:49:14.508 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
