21:48:20.843 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:48:22.421 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:22.422 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:48:22.901 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:22.902 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:48:22.963 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:22.963 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:23.087 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:23.088 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:23.115 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:48:23.116 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:48:23.360 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:23.361 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:48:23.396 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:23.396 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
