21:49:09.882 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:49:11.927 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:11.928 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:49:12.313 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:49:12.313 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:49:12.388 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:12.388 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:49:12.422 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:49:12.422 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:49:12.431 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:12.431 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:49:12.439 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:49:12.439 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:49:12.446 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:12.446 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:49:12.454 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:49:12.454 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:49:12.461 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:12.461 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:49:12.468 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:49:12.468 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
21:49:12.478 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:12.478 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
21:49:12.493 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:49:12.493 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
21:49:12.508 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
