21:48:31.339 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:48:33.069 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:33.069 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:48:33.424 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:33.424 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:48:33.465 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:33.467 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:48:33.587 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:33.587 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:48:33.613 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:33.614 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:33.707 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:33.707 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:33.729 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:48:33.730 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:48:33.920 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:33.921 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:48:34.571 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:34.571 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:48:34.611 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:48:34.611 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:48:34.655 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:48:34.655 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:48:34.687 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:48:34.688 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:48:34.742 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:48:34.742 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:48:34.775 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:48:34.775 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:48:34.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:48:34.825 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:48:34.862 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:48:34.862 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:48:34.887 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:48:34.887 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:48:34.920 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:48:34.920 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
