21:48:22.820 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:48:25.673 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:25.673 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:48:26.291 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:26.291 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:48:26.362 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:26.362 | 💡 INFO     | INPUT          | Filling input "Password" with value: "  "
21:48:26.535 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:26.535 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "  "
21:48:26.571 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:48:26.572 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:48:26.858 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:26.859 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:48:26.878 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:26.880 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
