21:48:45.733 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:48:47.284 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:47.284 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:48:47.602 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:47.602 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:48:47.646 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:47.646 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:48:47.721 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:47.721 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:48:47.746 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:47.746 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:47.814 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:47.815 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:47.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:48:47.825 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:48:48.039 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:48.040 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:48:48.705 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:48.705 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
