21:48:42.472 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:48:43.640 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:43.641 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:48:44.091 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:48:44.091 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:48:44.127 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:44.127 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:48:44.256 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:48:44.256 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:48:44.276 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:44.276 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:44.425 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:48:44.427 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:44.451 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:48:44.451 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:48:44.928 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:44.928 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:48:45.330 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:48:45.330 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
