21:48:32.349 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:48:35.269 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:35.270 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:48:35.738 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:48:35.738 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:48:35.821 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:35.822 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:48:36.156 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:48:36.157 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:48:36.267 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:48:36.267 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:48:36.532 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:36.533 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:48:36.566 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:48:36.566 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
