18:44:25.024 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:44:26.598 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:26.599 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:27.237 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:27.238 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:27.261 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:27.263 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:27.282 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:27.284 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:44:27.304 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:27.305 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
18:44:27.324 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:27.324 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
18:44:27.337 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:27.337 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
18:44:27.360 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:27.360 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
18:44:27.377 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:27.378 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
18:44:27.391 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:27.393 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
18:44:27.415 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:27.415 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
18:44:27.429 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:27.429 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
18:44:27.445 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
