18:44:22.558 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:44:23.817 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:23.818 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:44:24.166 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:24.167 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:44:24.181 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:24.181 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:44:24.310 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:24.310 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:44:24.317 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:24.317 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:44:24.371 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:24.371 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:44:24.376 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:44:24.376 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:44:24.490 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
18:44:29.049 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:44:30.983 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:30.983 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:31.171 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:31.171 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:31.247 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:31.248 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:31.293 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:31.293 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:44:31.343 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:44:31.343 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:44:31.411 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:44:31.411 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:44:31.604 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:44:31.604 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:44:31.632 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:31.633 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
18:44:31.735 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:31.736 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
18:44:32.019 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:32.019 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
18:44:32.102 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:32.102 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
18:44:32.130 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:32.130 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
18:44:32.221 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:32.221 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
18:44:32.242 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:32.243 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
18:44:32.365 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:32.365 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
18:44:32.410 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:44:32.410 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
18:44:32.495 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:44:32.495 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
18:44:32.524 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:32.524 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:32.549 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:32.549 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:32.599 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:32.599 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:32.632 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:32.633 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
