18:44:29.697 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:44:30.571 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:30.572 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:31.241 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:31.241 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:31.261 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:31.261 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:31.282 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:31.282 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:44:31.304 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:31.304 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
18:44:31.328 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:31.328 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
18:44:31.360 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:31.363 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
18:44:31.374 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:31.374 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
18:44:31.386 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:31.387 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
18:44:31.400 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:31.401 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
18:44:31.417 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:31.417 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
18:44:31.431 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:31.431 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
18:44:31.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:44:31.452 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
18:44:31.468 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:44:31.469 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
