18:44:33.314 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:44:34.567 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:34.568 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:35.024 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:35.024 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:35.062 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:35.063 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:35.096 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:35.097 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:44:35.144 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:35.146 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
18:44:35.284 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:35.284 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
18:44:35.303 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:35.303 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
18:44:35.403 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:35.404 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
18:44:35.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:35.418 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
18:44:35.565 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:35.566 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
