18:44:08.970 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:44:10.226 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:10.226 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:44:10.486 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:10.486 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:44:10.564 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:10.564 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:44:10.698 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:10.698 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:44:10.736 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:10.736 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:44:10.835 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:10.835 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:44:10.858 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:44:10.858 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:44:11.019 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:44:11.019 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
18:44:11.273 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:44:11.274 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
