18:44:35.726 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:44:36.759 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:36.759 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:37.388 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:37.388 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:37.408 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:37.408 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:37.428 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:37.428 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:44:37.446 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:37.446 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
18:44:37.623 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:37.623 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
18:44:37.662 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:37.662 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
18:44:37.819 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:37.819 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
18:44:37.839 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:37.839 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
18:44:37.927 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:44:37.928 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
18:44:37.984 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:37.984 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
18:44:38.279 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:44:38.279 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
18:44:38.356 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:44:38.356 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
18:44:38.476 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:44:38.476 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
18:44:38.503 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:44:38.503 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:44:38.773 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:44:38.774 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:44:38.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:44:38.826 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:44:38.871 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:38.872 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
18:44:39.322 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
18:44:39.322 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
18:44:39.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
18:44:39.418 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
18:44:39.443 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
18:44:39.444 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
18:44:39.461 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
18:44:39.461 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
18:44:39.491 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
18:44:39.491 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
18:44:39.513 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
18:44:39.513 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
18:44:39.559 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
18:44:39.559 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
18:44:39.587 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
18:44:39.587 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
18:44:39.614 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
18:44:39.614 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" has text: "Estimated time: 2 weeks"
18:44:39.632 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-menu-button" at index "0"
18:44:39.633 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Menu"
18:44:40.008 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-edit-menu-item" at index "0"
18:44:40.008 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Edit" is visible
18:44:40.032 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-edit-menu-item" at index "0"
18:44:40.032 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Edit"
18:44:42.576 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:42.576 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:42.599 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:42.599 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Update course"
18:44:42.621 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:42.621 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:42.635 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:42.636 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
18:44:42.656 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:42.657 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
18:44:42.674 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:42.674 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
18:44:42.687 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:42.688 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
