18:44:18.648 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:44:19.515 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:19.515 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:44:19.975 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:19.975 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:44:20.089 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:20.090 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:44:20.197 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:20.198 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:44:20.212 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:20.212 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:44:20.456 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:20.456 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:44:20.519 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:44:20.519 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:44:20.766 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:44:20.766 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
18:44:21.040 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:44:21.041 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
