18:44:13.030 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:44:14.063 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:14.064 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:44:14.443 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:44:14.443 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:44:14.463 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:14.463 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:44:14.508 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:44:14.510 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:44:14.516 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:14.516 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:44:14.544 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:44:14.544 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:44:14.548 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:44:14.548 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:44:14.843 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
18:44:15.305 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:44:17.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:17.314 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:44:17.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:44:17.801 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:44:17.855 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:17.855 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:44:17.910 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:44:17.910 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:44:17.966 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:44:17.966 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:44:18.102 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:44:18.102 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:44:18.151 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:44:18.151 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:44:18.179 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:18.180 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
18:44:18.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:44:18.314 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
18:44:18.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:18.346 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
18:44:18.473 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:44:18.474 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
