18:43:56.020 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
18:43:57.691 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:43:57.691 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
18:43:57.916 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:43:57.916 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
18:43:58.169 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:43:58.169 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:43:58.261 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:43:58.261 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:43:58.273 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
18:43:58.273 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
18:43:58.373 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:43:58.374 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
18:43:58.385 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:43:58.386 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
