18:50:33.684 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
18:50:35.021 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:50:35.022 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
18:50:35.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:50:35.418 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
18:50:35.504 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:50:35.504 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:50:35.661 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:50:35.661 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:50:35.693 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
18:50:35.694 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
18:50:35.942 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:50:35.943 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
18:50:35.961 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:50:35.961 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
