18:50:54.656 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:50:56.517 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:50:56.519 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:50:56.902 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:50:56.902 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:50:56.940 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:50:56.940 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:50:57.060 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:50:57.060 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:50:57.081 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:50:57.082 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:50:57.177 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:50:57.177 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:50:57.192 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:50:57.192 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:50:57.483 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:50:57.483 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
18:50:58.041 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:50:58.042 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
