18:51:01.738 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:51:02.667 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:51:02.667 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:51:03.230 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:51:03.230 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:51:03.319 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:51:03.320 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:51:03.413 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:51:03.413 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:51:03.426 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:51:03.426 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:51:03.638 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:51:03.638 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:51:03.760 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:51:03.760 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:51:04.381 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:51:04.384 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
18:51:05.015 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:51:05.015 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
