18:50:58.926 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:50:59.914 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:50:59.914 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:51:00.214 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:51:00.214 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:51:00.254 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:51:00.254 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:51:00.324 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:51:00.324 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:51:00.332 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:51:00.332 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:51:00.365 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:51:00.365 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:51:00.373 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:51:00.373 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:51:00.479 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
18:51:05.057 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:51:06.647 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:06.648 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:51:06.829 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:06.830 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:51:06.869 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:06.870 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:51:06.952 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:06.952 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:51:06.972 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:51:06.972 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:51:07.078 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:51:07.079 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:51:07.127 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:51:07.128 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:51:07.159 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:07.159 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
18:51:07.281 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:07.282 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
18:51:07.379 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:07.379 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
