18:50:53.899 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:50:54.728 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:50:54.728 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:50:55.267 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:50:55.267 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:50:55.330 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:50:55.330 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:50:55.550 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:50:55.550 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:50:55.671 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:50:55.672 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:50:55.784 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:50:55.784 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:50:55.871 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:50:55.875 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:50:56.386 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:50:56.389 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
18:50:56.877 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
18:50:56.878 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
18:50:56.902 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
18:50:56.902 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
18:50:56.923 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
18:50:56.923 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
18:50:56.937 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
18:50:56.938 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
18:50:56.955 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
18:50:56.955 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
18:50:56.979 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
18:50:56.979 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
