18:51:17.750 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:51:20.032 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:20.033 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:51:20.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:20.661 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:51:20.765 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:20.765 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:51:20.904 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:20.904 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:51:21.011 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:21.012 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
18:51:21.047 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:21.048 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
18:51:21.085 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:21.085 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
18:51:21.106 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:21.107 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
18:51:21.139 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:21.139 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
18:51:21.190 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:21.190 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
18:51:21.227 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:21.227 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
18:51:21.254 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:21.254 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
18:51:21.293 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:21.294 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
18:51:21.333 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:21.334 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
18:51:21.375 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
18:51:21.377 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
18:51:21.417 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
18:51:21.417 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
18:51:21.438 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
18:51:21.439 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
18:51:21.470 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
18:51:21.470 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
18:51:21.502 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
18:51:21.502 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
18:51:21.529 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
18:51:21.533 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
18:51:21.580 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
18:51:21.580 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
18:51:21.612 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
18:51:21.612 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
18:51:21.643 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:51:21.643 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:51:21.717 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:51:21.717 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:51:21.843 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:51:21.844 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:51:21.895 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
18:51:21.896 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
18:51:21.934 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
18:51:21.935 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
18:51:21.963 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
