18:51:17.299 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:51:19.193 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:19.193 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:51:19.412 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:19.415 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:51:19.434 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:19.436 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:51:19.454 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:19.454 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:51:19.469 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:19.470 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
18:51:19.571 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:19.572 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
18:51:19.583 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:19.584 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
18:51:19.690 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:19.690 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
18:51:19.725 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:19.725 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
18:51:19.865 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:19.866 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
18:51:19.881 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:19.881 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
18:51:20.046 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:20.048 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
18:51:20.106 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:20.106 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
18:51:20.240 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:20.240 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
18:51:20.282 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:51:20.282 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:51:20.395 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:51:20.397 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:51:20.580 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:51:20.580 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
