18:50:33.696 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
18:50:35.200 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:50:35.200 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
18:50:35.600 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:50:35.600 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
18:50:35.677 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:50:35.677 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:50:35.829 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:50:35.830 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:50:35.874 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
18:50:35.874 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
18:50:36.099 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:50:36.103 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
18:50:36.131 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:50:36.131 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
