18:50:45.088 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
18:50:46.453 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:50:46.453 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
18:50:46.962 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
18:50:46.962 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
18:50:47.002 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:50:47.002 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:50:47.158 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
18:50:47.158 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:50:47.176 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
18:50:47.176 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
18:50:47.719 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:50:47.719 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
18:50:47.791 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
18:50:47.793 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
