18:51:11.257 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
18:51:11.947 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:51:11.948 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
18:51:12.176 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
18:51:12.179 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
18:51:12.194 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:51:12.194 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
18:51:12.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
18:51:12.273 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
18:51:12.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:51:12.280 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
18:51:12.309 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
18:51:12.310 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
18:51:12.317 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
18:51:12.317 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
18:51:12.524 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
18:51:13.257 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:51:14.969 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:14.970 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:51:15.476 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:15.476 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:51:15.511 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:15.511 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:51:15.569 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:15.570 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:51:15.597 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:51:15.600 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:51:15.653 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:51:15.653 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:51:15.734 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:51:15.734 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:51:15.762 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:15.763 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
18:51:15.826 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:15.827 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
18:51:15.839 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
