18:51:18.153 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
18:51:19.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:19.826 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
18:51:20.757 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
18:51:20.758 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
18:51:20.803 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:20.803 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
18:51:20.832 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:20.832 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
18:51:20.890 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:20.890 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
18:51:20.915 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:20.916 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
18:51:20.967 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:20.967 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
18:51:20.999 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:20.999 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
18:51:21.029 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:21.029 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
18:51:21.074 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:21.074 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
18:51:21.119 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:21.119 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
18:51:21.154 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:21.154 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
18:51:21.187 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:21.188 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
18:51:21.221 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:21.221 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
18:51:21.256 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
18:51:21.259 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
18:51:21.304 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
18:51:21.304 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
18:51:21.333 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
18:51:21.334 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
18:51:21.396 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
18:51:21.396 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
18:51:21.411 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
18:51:21.411 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
18:51:21.436 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
18:51:21.437 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
18:51:21.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
18:51:21.452 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
18:51:21.463 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
18:51:21.463 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
18:51:21.482 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
18:51:21.482 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
18:51:21.543 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:51:21.543 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:51:21.707 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:51:21.709 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:51:21.766 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
18:51:21.767 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
18:51:21.796 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
18:51:21.796 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
18:51:21.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
18:51:21.825 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
18:51:21.848 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
18:51:21.849 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
18:51:21.869 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
18:51:21.869 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
18:51:21.884 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
18:51:21.884 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
18:51:21.915 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
18:51:21.915 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
18:51:21.936 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
18:51:21.936 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
18:51:21.989 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:21.990 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
18:51:22.095 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
18:51:22.095 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
18:51:22.117 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:22.117 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
18:51:22.196 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
18:51:22.196 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
18:51:22.213 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:22.213 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
18:51:22.312 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
18:51:22.312 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
18:51:22.327 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:22.327 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
18:51:22.383 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
18:51:22.383 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
18:51:22.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:22.421 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
18:51:22.638 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
18:51:22.638 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
18:51:22.668 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
18:51:22.668 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
18:51:22.956 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
18:51:22.956 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
18:51:23.226 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
18:51:23.226 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
18:51:23.249 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
18:51:23.249 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
18:51:23.278 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
18:51:23.279 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
18:51:23.305 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
18:51:23.306 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
18:51:23.332 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
18:51:23.332 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
18:51:23.351 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
18:51:23.351 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
18:51:23.367 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
18:51:23.367 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
18:51:23.392 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
18:51:23.392 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
18:51:23.461 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
18:51:23.461 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
18:51:23.492 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
18:51:23.492 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
18:51:23.514 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
18:51:23.514 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" has text: "Estimated time: 2 weeks"
