20:01:18.995 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
20:01:20.641 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:01:20.643 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:01:20.882 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:20.883 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:01:20.947 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:20.947 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:01:20.974 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:01:20.974 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:01:21.001 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:01:21.001 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:01:21.032 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:21.032 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:01:21.059 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:21.059 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:01:21.082 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:01:21.082 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:01:21.102 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:01:21.102 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:01:21.122 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:01:21.122 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:01:21.154 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:01:21.155 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:01:21.179 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:01:21.179 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:01:21.202 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:01:21.202 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:01:21.227 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:01:21.227 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:01:21.291 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:01:21.291 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:01:21.321 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:01:21.321 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:01:21.334 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:01:21.334 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
20:01:21.354 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:01:21.354 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
20:01:21.378 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
20:01:21.378 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
20:01:21.400 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
20:01:21.400 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:01:21.417 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:01:21.417 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:21.427 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:01:21.428 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
20:01:21.449 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:01:21.449 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:01:21.466 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:01:21.466 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
