20:01:29.784 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:01:31.824 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:31.825 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:01:32.561 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:32.561 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:01:32.630 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:32.630 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:01:32.700 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:32.700 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:01:32.757 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:32.758 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
20:01:32.813 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:32.814 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
20:01:32.845 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:32.845 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
20:01:32.893 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:32.893 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
20:01:32.933 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:32.935 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
20:01:32.975 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:32.976 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
20:01:33.022 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:33.022 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
20:01:33.058 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:33.059 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
20:01:33.094 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:33.095 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
20:01:33.125 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:33.125 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
20:01:33.157 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
