20:01:35.312 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
20:01:36.514 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:01:36.515 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:01:37.097 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:37.101 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:01:37.163 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:37.163 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:01:37.204 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:01:37.204 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:01:37.236 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:01:37.237 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:01:37.270 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:37.270 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:01:37.296 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:37.297 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:01:37.336 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:01:37.336 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:01:37.363 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:01:37.364 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:01:37.384 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:01:37.384 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:01:37.402 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:01:37.402 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:01:37.434 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:01:37.435 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:01:37.465 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:01:37.465 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:01:37.492 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:01:37.492 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:01:37.522 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:01:37.523 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:01:37.545 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:01:37.547 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:01:37.579 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:01:37.579 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:01:37.616 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:01:37.616 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:01:37.638 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-widget-title-text" at index "0"
20:01:37.639 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:37.676 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-widget-title-text" at index "0"
20:01:37.677 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Courses"
20:01:37.698 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-pie-chart" at index "0"
20:01:37.698 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
20:01:37.719 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: scores-widget-title-text" at index "0"
20:01:37.719 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:37.733 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: scores-widget-title-text" at index "0"
20:01:37.734 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Scores"
20:01:37.751 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: scores-scatter-chart" at index "0"
20:01:37.751 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
20:01:37.771 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: activities-widget-title-text" at index "0"
20:01:37.771 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:37.782 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: activities-widget-title-text" at index "0"
20:01:37.782 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Activities"
20:01:37.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: activities-line-chart" at index "0"
20:01:37.800 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
20:01:37.816 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: students-widget-title-text" at index "0"
20:01:37.817 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:37.827 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: students-widget-title-text" at index "0"
20:01:37.827 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Students"
20:01:37.836 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: students-bar-chart" at index "0"
20:01:37.837 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Chart" is visible
