20:00:40.459 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
20:00:43.205 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:00:43.206 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
20:00:43.614 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:00:43.615 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
20:00:43.631 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:00:43.631 | 💡 INFO     | INPUT          | Filling input "Password" with value: "  "
20:00:44.240 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:00:44.240 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "  "
20:00:44.257 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
20:00:44.258 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
20:00:44.521 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:00:44.521 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
20:00:44.561 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:00:44.563 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
