20:01:18.132 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:01:19.110 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:19.113 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:01:19.405 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:19.405 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:01:19.449 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:19.449 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:01:19.518 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:19.519 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:01:19.526 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:19.527 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:01:19.596 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:19.596 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:01:19.603 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:01:19.603 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:01:19.774 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
20:01:20.624 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:01:22.957 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:22.957 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:01:23.331 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:23.332 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:01:23.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:23.381 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:01:23.421 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:23.421 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:01:23.453 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:23.453 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
20:01:23.477 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:23.477 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
20:01:23.493 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:23.493 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
20:01:23.510 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:23.510 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
20:01:23.535 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:23.535 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
20:01:23.555 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:23.556 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
20:01:23.584 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:23.584 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
20:01:23.602 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:23.602 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
20:01:23.616 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:23.617 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
20:01:23.631 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:23.631 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
