20:01:00.108 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:01:01.036 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:01.036 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:01:01.458 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:01.458 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:01:01.497 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:01.497 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:01:01.757 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:01.758 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:01:01.817 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:01.817 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:01:01.923 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:01.923 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:01:01.945 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:01:01.945 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:01:02.323 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:01:02.324 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:01:02.765 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:01:02.765 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
