20:01:16.465 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
20:01:17.385 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:01:17.386 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:01:17.764 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:17.765 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:01:17.802 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:17.802 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:01:17.818 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:01:17.818 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:01:17.832 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:01:17.832 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:01:17.840 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:17.841 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:01:17.869 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:17.869 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:01:17.880 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:01:17.881 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:01:17.891 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:01:17.891 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:01:17.900 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:01:17.901 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:01:17.916 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:01:17.916 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:01:17.931 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:01:17.932 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:01:17.950 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:01:17.950 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:01:17.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:01:17.977 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:01:18.000 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:01:18.004 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:01:18.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:01:18.028 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:01:18.049 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:01:18.050 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
20:01:18.060 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:01:18.061 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
20:01:18.075 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
20:01:18.075 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
20:01:18.085 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
20:01:18.085 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:01:18.095 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:01:18.095 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:18.106 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:01:18.106 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
20:01:18.116 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:01:18.117 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:01:18.127 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:01:18.128 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
