20:01:26.618 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:01:28.383 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:28.383 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:01:28.835 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:28.837 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:01:28.883 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:28.883 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:01:28.896 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:28.896 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:01:28.909 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:28.911 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
20:01:29.030 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:29.030 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
20:01:29.063 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:29.063 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
20:01:29.161 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:29.162 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
20:01:29.185 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:29.185 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
20:01:29.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:29.273 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
20:01:29.290 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:29.290 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
20:01:29.349 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:29.352 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
20:01:29.372 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:29.372 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
20:01:29.421 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:29.421 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
20:01:29.444 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:01:29.444 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
20:01:29.531 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:01:29.536 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
20:01:29.564 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
20:01:29.564 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
20:01:29.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:29.593 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
20:01:29.753 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
20:01:29.753 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
20:01:29.818 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
20:01:29.819 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:01:29.860 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
20:01:29.860 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
20:01:29.889 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
20:01:29.889 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
20:01:29.908 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
20:01:29.909 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
20:01:29.944 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
20:01:29.944 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
20:01:29.968 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
20:01:29.968 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
20:01:29.984 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
20:01:29.984 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
20:01:29.996 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
20:01:29.996 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" has text: "Estimated time: 2 weeks"
