20:01:39.152 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
20:01:40.447 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:01:40.447 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:01:40.734 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:40.735 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:01:41.005 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:01:41.006 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:01:41.041 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:01:41.042 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:01:41.072 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:01:41.072 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:01:41.099 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:41.099 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:01:41.128 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:01:41.129 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:01:41.158 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:01:41.159 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:01:41.178 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:01:41.179 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
