20:01:07.628 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:01:08.594 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:08.595 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:01:08.841 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:08.841 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:01:08.854 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:08.854 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:01:08.897 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:08.897 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:01:08.905 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:08.905 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:01:08.934 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:08.935 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:01:08.942 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:01:08.942 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:01:09.023 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
20:01:09.562 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:01:11.190 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:11.191 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:01:11.537 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:11.537 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:01:11.572 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:11.572 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:01:11.607 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:11.607 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:01:11.640 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:01:11.640 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
20:01:11.750 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:01:11.751 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
20:01:11.826 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
20:01:11.827 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
20:01:11.855 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:11.855 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
20:01:11.924 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:11.926 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
20:01:11.957 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:11.957 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
20:01:12.092 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:12.093 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
20:01:12.152 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:12.152 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
20:01:12.305 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:12.306 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
20:01:12.331 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:12.332 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
20:01:12.438 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:12.438 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
20:01:12.480 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:12.480 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
20:01:12.579 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:01:12.579 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
20:01:12.625 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:12.628 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:01:12.659 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:12.659 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:01:12.705 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:12.706 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:01:12.730 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:12.730 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
