20:01:05.406 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:01:06.812 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:06.813 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:01:07.453 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:01:07.453 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:01:07.497 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:07.497 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:01:07.590 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:01:07.590 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:01:07.608 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:07.608 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:01:07.670 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:01:07.671 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:01:07.688 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:01:07.688 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:01:07.904 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
20:01:12.455 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:01:14.468 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:14.469 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:01:14.872 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:01:14.873 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:01:15.250 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:15.251 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:01:16.191 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:01:16.192 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:01:16.210 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:01:16.210 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
20:01:16.237 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:01:16.237 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
20:01:16.401 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
20:01:16.402 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
20:01:16.447 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:16.447 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
20:01:16.547 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:01:16.547 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
20:01:16.569 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:16.569 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
20:01:16.681 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:01:16.682 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
20:01:16.710 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:16.711 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
20:01:16.779 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:01:16.779 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
20:01:16.804 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:01:16.804 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
