"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6040","Edit course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3160","User registration with correct email, username and password","LMS system","2026-09-11","passed","2026-09-11","Registration","Authentication","",""
"","10281","Edit course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3851","Check displaying of empty courses list","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3874","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4247","User registration with correct email, username and password","LMS system","2026-09-11","passed","2026-09-11","Registration","Authentication","",""
"","2801","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2337","Test displaying of dashboard page","LMS system","2026-09-11","passed","2026-09-11","Dashboard","Dashboard","",""
"","2865","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","5209","Create course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","6850","Edit course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2487","Check displaying of empty courses list","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3482","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","1847","Navigation from login page to registration page","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","5586","User login with correct email and password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2535","Test displaying of dashboard page","LMS system","2026-09-11","passed","2026-09-11","Dashboard","Dashboard","",""
"","2624","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2915","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2856","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4141","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","1678","Check displaying of empty courses list","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","1516","Test displaying of dashboard page","LMS system","2026-09-11","passed","2026-09-11","Dashboard","Dashboard","",""
"","4770","Create course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3202","Enable course creation after filling valid form","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","6593","User login with correct email and password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4739","Enable course creation after filling valid form","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","16442","User login with correct email and password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4795","Create course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2677","User registration with correct email, username and password","LMS system","2026-09-11","passed","2026-09-11","Registration","Authentication","",""
"","2551","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4010","Navigation from login page to registration page","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2939","Enable course creation after filling valid form","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2407","Navigation from login page to registration page","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
