20:19:05.057 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
20:19:05.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:19:05.976 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:19:06.157 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:19:06.157 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:19:06.175 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:19:06.175 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:19:06.193 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:19:06.195 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:19:06.227 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:19:06.229 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:19:06.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:19:06.280 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:19:06.291 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:19:06.291 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:19:06.298 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:19:06.298 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:19:06.306 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:19:06.306 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:19:06.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:19:06.314 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:19:06.321 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:19:06.321 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:19:06.327 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:19:06.327 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:19:06.334 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:19:06.334 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:19:06.344 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:19:06.344 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:19:06.353 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:19:06.354 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:19:06.363 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:19:06.363 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:19:06.375 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:19:06.376 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
20:19:06.385 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:19:06.385 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
20:19:06.420 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
20:19:06.421 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
20:19:06.434 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
20:19:06.434 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:19:06.440 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:19:06.441 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:19:06.446 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:19:06.447 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
20:19:06.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:19:06.452 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:19:06.457 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:19:06.458 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
