20:19:07.215 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:19:08.182 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:08.182 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:19:08.477 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:08.478 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:19:08.507 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:19:08.507 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:19:08.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:19:08.527 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:19:08.543 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:19:08.544 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
20:19:08.553 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:19:08.554 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
20:19:08.565 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:19:08.565 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
20:19:08.576 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:19:08.576 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
20:19:08.586 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:19:08.586 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
20:19:08.595 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:19:08.595 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
20:19:08.602 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:19:08.602 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
20:19:08.610 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:19:08.610 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
20:19:08.621 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:19:08.621 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
20:19:08.631 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:19:08.631 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
20:19:08.643 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
20:19:08.644 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
20:19:08.650 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
20:19:08.650 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
20:19:08.661 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
20:19:08.661 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
20:19:08.671 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
20:19:08.671 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:19:08.684 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
20:19:08.686 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:19:08.705 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
20:19:08.705 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
20:19:08.716 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
20:19:08.716 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:19:08.726 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
20:19:08.727 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
20:19:08.822 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:19:08.822 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
20:19:08.903 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:19:08.903 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
