20:19:04.566 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:19:05.391 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:05.391 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:19:05.696 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:05.696 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:19:05.734 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:05.735 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:19:05.802 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:05.802 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:19:05.828 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:05.828 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:19:05.900 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:05.900 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:19:05.916 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:19:05.916 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:19:06.084 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:19:06.084 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:19:06.534 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:19:06.534 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
