20:19:00.592 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:19:02.365 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:02.365 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:19:02.883 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:02.884 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:19:03.409 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:03.410 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:19:03.565 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:03.566 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:19:03.584 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:03.584 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:19:03.665 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:03.666 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:19:03.679 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:19:03.680 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:19:03.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:19:03.976 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:19:04.237 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:19:04.237 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
