20:18:49.246 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
20:18:49.918 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:18:49.918 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
20:18:50.120 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:18:50.120 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
20:18:50.143 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:18:50.143 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:18:50.257 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:18:50.257 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:18:50.282 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
20:18:50.283 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
20:18:50.575 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:18:50.575 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
20:18:50.594 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:18:50.594 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
