20:19:17.581 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:19:19.225 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:19.225 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:19:19.419 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:19.419 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:19:19.485 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:19:19.485 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:19:19.573 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:19:19.573 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:19:19.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:19:19.592 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
20:19:19.795 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:19:19.795 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
20:19:19.897 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:19:19.897 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
20:19:19.941 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:19:19.941 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
20:19:19.957 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:19:19.958 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
20:19:20.015 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:19:20.015 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
20:19:20.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:19:20.028 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
20:19:20.075 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:19:20.075 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
20:19:20.089 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:19:20.090 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
20:19:20.149 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:19:20.149 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
20:19:20.160 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:19:20.160 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
