20:18:54.103 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:18:54.947 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:18:54.947 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:18:55.620 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:18:55.620 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:18:55.649 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:18:55.650 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:18:55.728 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:18:55.728 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:18:55.754 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:18:55.754 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:18:55.881 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:18:55.881 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:18:55.893 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:18:55.894 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:18:56.225 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:18:56.226 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:18:56.721 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:18:56.721 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:18:56.739 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:18:56.740 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:18:56.759 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:18:56.760 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:18:56.774 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:18:56.774 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:18:56.790 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:18:56.790 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:18:56.807 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:18:56.807 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:18:56.822 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:18:56.822 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:18:56.846 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:18:56.847 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:18:56.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:18:56.864 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:18:56.880 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:18:56.880 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:18:56.898 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:18:56.898 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:18:56.935 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:18:56.938 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:18:56.989 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:18:56.989 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
