20:18:59.543 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:19:00.391 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:00.391 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:19:00.524 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:00.527 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:19:00.563 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:00.565 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:19:00.724 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:00.725 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:19:00.771 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:00.771 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:19:00.923 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:00.923 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:19:00.981 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:19:00.981 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:19:01.208 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:19:01.208 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:19:01.582 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:19:01.582 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
