20:19:03.268 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:19:03.978 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:03.979 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:19:04.278 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:04.278 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:19:04.301 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:04.301 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:19:04.350 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:04.350 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:19:04.361 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:04.361 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:19:04.440 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:04.441 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:19:04.465 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:19:04.466 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:19:04.632 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
20:19:05.440 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:19:06.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:06.380 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:19:06.946 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:06.946 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
