20:19:07.334 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:19:08.103 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:08.103 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:19:08.408 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:19:08.408 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:19:08.425 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:08.425 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:19:08.484 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:19:08.484 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:19:08.491 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:08.492 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:19:08.543 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:19:08.543 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:19:08.555 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:19:08.555 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:19:08.658 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
20:19:10.041 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
20:19:10.654 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:19:10.655 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:19:10.841 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:19:10.841 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:19:10.871 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:19:10.872 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:19:10.892 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:19:10.892 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:19:10.907 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:19:10.907 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:19:10.927 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:19:10.927 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:19:10.942 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:19:10.942 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:19:10.965 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:19:10.965 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:19:10.986 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:19:10.986 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:19:11.026 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:19:11.026 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:19:11.044 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:19:11.044 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:19:11.077 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:19:11.077 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:19:11.108 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:19:11.111 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:19:11.140 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:19:11.140 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:19:11.161 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:19:11.161 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:19:11.199 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
