20:19:12.232 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:19:13.258 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:13.258 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:19:13.402 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:19:13.403 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:19:13.445 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:19:13.446 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:19:13.474 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:19:13.474 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:19:13.484 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:19:13.485 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
20:19:13.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:19:13.528 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
20:19:13.543 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:19:13.543 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
20:19:13.621 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:19:13.621 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
20:19:13.661 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:19:13.661 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
