20:25:25.001 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:25:26.515 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:26.515 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:25:27.357 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:27.358 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:25:27.385 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:27.385 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:25:27.413 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:27.413 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:25:27.450 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:27.450 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
20:25:27.485 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:27.486 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
20:25:27.514 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:27.514 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
20:25:27.578 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:27.578 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
20:25:27.593 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:27.594 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
20:25:27.608 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:27.608 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
20:25:27.622 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:27.622 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
20:25:27.640 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:27.641 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
20:25:27.666 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:27.667 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
20:25:27.689 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:27.690 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
20:25:27.705 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
20:25:27.705 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
20:25:27.715 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
20:25:27.715 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
20:25:27.728 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
20:25:27.728 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
20:25:27.750 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
20:25:27.750 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:25:27.775 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
20:25:27.775 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:25:27.790 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
20:25:27.791 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
20:25:27.828 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
20:25:27.829 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:25:27.837 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
20:25:27.837 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
20:25:27.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:25:27.865 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
20:25:27.896 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:25:27.896 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
20:25:28.091 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
20:25:28.092 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
20:25:28.129 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
20:25:28.130 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
20:25:28.160 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
20:25:28.160 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
20:25:28.180 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
20:25:28.181 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
20:25:28.203 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
20:25:28.203 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
20:25:28.231 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
20:25:28.233 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
20:25:28.254 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
20:25:28.254 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
20:25:28.291 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
20:25:28.291 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
20:25:28.322 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:25:28.324 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
20:25:28.365 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:28.365 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
20:25:28.539 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:28.540 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
20:25:28.573 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:28.577 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
20:25:28.697 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:28.697 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
20:25:28.712 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:28.713 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
20:25:29.109 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:29.109 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
20:25:29.205 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:29.205 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
20:25:29.251 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:29.251 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
20:25:29.313 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:29.313 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
20:25:29.475 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:29.475 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
20:25:29.505 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:29.505 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
20:25:29.846 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:25:29.848 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
20:25:29.978 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:25:29.978 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
20:25:30.018 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
20:25:30.018 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
20:25:30.049 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
20:25:30.049 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
20:25:30.110 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
