20:25:16.692 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:25:17.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:25:17.528 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:25:17.745 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:25:17.746 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:25:17.771 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:25:17.771 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:25:17.836 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:25:17.836 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:25:17.850 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:25:17.850 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:25:17.886 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:25:17.886 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:25:17.890 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:25:17.890 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:25:18.014 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
20:25:23.486 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:25:25.432 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:25.433 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:25:25.714 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:25.714 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:25:25.788 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:25.788 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:25:25.816 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:25.816 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:25:25.911 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
20:25:25.911 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
20:25:25.995 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
20:25:25.995 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
20:25:26.136 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
20:25:26.137 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
20:25:26.169 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:26.169 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
20:25:26.354 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:26.354 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
20:25:26.541 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:26.541 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
20:25:26.755 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:26.755 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
20:25:26.829 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:26.829 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
20:25:27.017 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:27.017 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
20:25:27.066 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:27.066 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
20:25:27.220 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:27.221 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
20:25:27.248 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:27.249 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
20:25:27.363 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:27.363 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
20:25:27.395 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:27.395 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:25:27.419 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:27.420 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:25:27.441 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:27.441 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:25:27.475 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:27.476 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
