20:25:33.386 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
20:25:35.131 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:25:35.131 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:25:35.430 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:25:35.430 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:25:35.491 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:25:35.491 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:25:35.545 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:25:35.546 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:25:35.567 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:25:35.568 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:25:35.587 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:25:35.588 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:25:35.607 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:25:35.607 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:25:35.633 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:25:35.634 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:25:35.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:25:35.661 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:25:36.135 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:25:36.135 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:25:36.168 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:25:36.168 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:25:36.203 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:25:36.203 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:25:36.220 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:25:36.220 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:25:36.246 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:25:36.246 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:25:36.271 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:25:36.271 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:25:36.285 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:25:36.285 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:25:36.301 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:25:36.301 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
20:25:36.316 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:25:36.316 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
20:25:36.327 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
20:25:36.327 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
20:25:36.347 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
20:25:36.347 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:25:36.359 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:25:36.359 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:25:36.371 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:25:36.371 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
20:25:36.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:25:36.380 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:25:36.394 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:25:36.394 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
